"PVWatts Hourly PV Performance Data"
"Requested Location","5230 Dexter Ann Arbor Rd"
"Location","Lat, Lng: 42.29, -83.82"
"Latitude (DD)","42.29"
"Longitude (DD)","-83.82"
"Elevation (m)","268.2799987793"
"DC System Size (kW)","8.55"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","225"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","Yes (0.7)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"7","25","15","779","137","26","3.4","0.16","892.919","42.432","6079.274","5829.973"
"7","25","16","157","270","25","3.1","0.16","423.667","33.086","2970.893","2831.734"
"7","25","17","573","118","24","2.5","0.16","514.217","35.032","3672.736","3508.708"
"7","25","18","387","86","23","1.7","0.16","275.818","29.879","1949.044","1846.094"
"7","25","19","101","29","21","1.4","0.16","57.518","22.422","297.96","253.514"
"7","25","20","0","0","20","1.6","0.16","0","20","0","0"
"7","25","21","0","0","20","2","0.16","0","20","0","0"
"7","25","22","0","0","20","2.2","0.16","0","20","0","0"
"7","25","23","0","0","20","2.3","0.16","0","20","0","0"
"7","26","0","0","0","19","2.3","0.16","0","19","0","0"
"7","26","1","0","0","19","2.3","0.16","0","19","0","0"
"7","26","2","0","0","19","2.5","0.16","0","19","0","0"
"7","26","3","0","0","19","2.7","0.16","0","19","0","0"
"7","26","4","0","0","19","2.7","0.16","0","19","0","0"
"7","26","5","0","0","19","2.9","0.16","0","0","0","0"
"7","26","6","262","69","21","3.3","0.16","72.706","21.975","505.209","453.419"
"7","26","7","482","114","23","3.6","0.16","158.414","25.29","953.948","886.257"
"7","26","8","11","180","24","3.8","0.16","176.507","26.964","1231.579","1154.051"
"7","26","9","52","292","25","4","0.16","308.103","30.016","2146.194","2036.258"
"7","26","10","348","357","26","4.2","0.16","607.783","35.699","4194.804","4012.277"
"7","26","11","306","417","27","4.6","0.16","693.37","37.531","4729.189","4527.726"
"7","26","12","146","462","28","4.9","0.16","620.411","37.056","4212.97","4029.8"
"7","26","13","844","151","28","5.1","0.16","1034.436","42.978","6948.648","6668.542"
"7","26","14","847","137","27","5.3","0.16","1014.721","41.35","6887.258","6609.326"
"7","26","15","827","125","26","5.3","0.16","923.666","39.087","6374.44","6114.68"
"7","26","16","772","113","25","5","0.16","763.731","36.24","5387.84","5163.039"
"7","26","17","672","99","24","4.3","0.16","555.228","32.967","4008.298","3832.379"
"7","26","18","431","70","21","3.2","0.16","279.016","26.258","1999.184","1894.456"
"7","26","19","149","25","19","2.5","0.17","65.61","20.271","325.123","279.714"
"7","26","20","0","0","17","2.3","0.17","0","17","0","0"
"7","26","21","0","0","16","2","0.17","0","16","0","0"
"7","26","22","0","0","15","1.7","0.17","0","15","0","0"
